id;ten_sanpham;gia_ban;loai_sanpham;soluong;sanphammoi;over_view;dung_luong;ma_hoa;toc_do;m_tbf;n_and_flash;he_dieuhanhhotro
1;architecture Chilean Devolved;3118;DIENTHOAI;87907;true;PNG Generic Kids;Quality Identity;turquoise turn-key;Concrete User-friendly backing;Grocery;Indiana;Facilitator Krone
2;Associate web-enabled payment;95128;OCUNG;62020;true;Georgia Intelligent 1080p;solution;recontextualize Central;Movies Dynamic Personal;Alabama Israel deposit;Chief;primary
3;Chicken IB;99996;TAINGHE;90872;true;Gloves panel;Table Plastic;open-source Money hardware;experiences Hat;extensible;withdrawal;Developer
4;payment Ameliorated;46420;DIENTHOAI;12453;true;XML database;ubiquitous e-business;Representative Corners;Functionality Card Bike;microchip redefine;Automotive;Facilitator Sleek
5;Rubber Chair;90197;MAYTINHXACHTAY;52701;true;Shirt;salmon;needs-based firmware proactive;experiences;programming hacking Malta;Fiji SSL e-tailers;paradigms Shirt revolutionary
6;Factors Refined Computers;74591;TAINGHE;13794;true;De-engineered;artificial Wooden Berkshire;Riyal;high-level Baby functionalities;Xê card;Jewelery;US
7;Producer innovate payment;82607;GAMINGGEAR;97022;true;invoice;Bike Loan;state olive;maroon Locks web;niches Account Rustic;Triều;Nepal Illinois
8;e-services;30907;MANHINHMAYTINH;93378;true;lime of integrate;architectures Monitored;array state;User-friendly;synthesize;visionary Metal;Account primary
9;channels;91095;DIENTHOAI;97293;false;violet Ameliorated;Guyana;Ball;parsing Liban;Borders heuristic Kansas;Director withdrawal;calculating extend
10;Realigned;56182;DIENTHOAI;27570;true;Canyon 24/7 Iceland;Borders Identity;transmitter Rustic management;Vatu;Circles Rubber Incredible;payment Avon;panel
